Log4j2, CVE-2021-45046
Office app, CVE-2021-43905
Chrome, zero-click exploit chains
LibreOffice, CVE-2022-26306
UEFI firmware, CVE-2021-3971
Managed File Transfer (MFT) software, MOVEit vulnerability
POORTRY, Bring Your Own Vulnerable Driver (BYOVD)
Oracle Cloud Infrastructure, AttachMe
Chrome, CVE-2020-16017
iPad Air, CVE-2021-30666
SharePoint Server, CVE-2022-22005
SaaS apps, data theft
McAfee, phishing
VMware NSX Manager, CVE-2022-31678
routers, remote code execution vulnerabilities
Internet Systems Consortium, CVE-2023-2829
Exchange Server 2019, date validation error
SEL Real Time Automation Controller (RTAC) suite, CVE-2023-31165
Play Protect, phishing webpages
RV016, CVE-2021-1315
JavaScript, reverse shell
Chakra, CVE-2022-41118
Microsoft Office Graphics, CVE-2022-44698
FakeUpdates, backdoor
VMware Horizon, CVE-2021-44228
Google Chrome, CVE-2022-3075
Google Earth Pro, CryptBot
Android, Facestealer
Netgear, unpatched vulnerabilities
Large Language Models, security challenges
Microsoft Sentinel, known vulnerabilities
Skipped, stolen credentials
Cloud Security Posture Management tools, security breaches
Mongall, CVE-2012-0158
PowerShell Gallery, spoofing metadata
Huawei, unpatched vulnerabilities
RV260, CVE-2021-1289
DTLS, amplified distributed denial-of-service
Serv-U FTP server, CVE-2021-25276
Bing.com, cross-site scripting
Pling platform, cross-site scripting
0patch, zero-day bug
TP-Link routers, CVE-2021-41653
Prometheus, database management turned on
HackerOne, Vidar
Sunburst, privilege escalation
System Management Mode, CVE-2022-31641
macOS Ventura, mercenary spyware
DnsSystem, DNS Hijacking
iMessage, BLASTPASS
MalLocker, double extortion
SolarWinds, backdoor
Point-to-Point Tunneling Protocol, CVE-2022-41044
IoT ecosystem, cyberattacks
Software as a Service, expired pages
Vue PACS, CVE-2020-4670
content security policy, sophisticated skimming malware
QNAP, CVE-2022-23943
SaaS, Insufficient Monitoring
QNAP, CVE-2022-0778
@am-fe/watermark-core, malware
Zimbra, zero-day vulnerability
Windows Common Log File System, CVE-2023-28252
connected vehicle service, security vulnerabilities
Play Core Library, CVE-2020-8913
Amazon Web Services, vulnerabilities
Artificial Intelligence, emerging risks
Chrome, CVE-2021-21193
Fusion, CVE-2020-4004
Stuxnet, zero-day exploits
watchOS 7.6.2, CVE-2021-31010
Trusted Platform Module 2.0, CVE-2023-1017
macOS, malicious app
MS-DFSNM, NTLM relay attack
DevOps, business logic vulnerabilities
iPadOS, CVE-2022-22587
iPadOS, CVE-2023-23530
home routers, CVE-2021-20090
MEGA, GaP Bleichenbacher attack
Vue PACS, CVE-2018-11218
WebKit, CNAME cloaking
Pinduoduo, CVE-2023-20963
Indusface Apptrana, SQL injection
msvcr100.dll, DLL side-loading
Sonos One Speaker 70.3-35220, CVE-2023-27352
Play Store, backdoor
Debian package, DNS-based backdoor
Apache web servers, CVE-2021-42013
Berkeley Packet Filters, CVE-2023-2163
PostgreSQL, misconfigured and exposed PostgreSQL servers
Telerik UI for ASP.NET AJAX, CVE-2017-11317
Amazon Alexa, phishing attacks
Redis, unauthorized access
Brute Ratel C4, command-and-control server
Apache Log4j, CVE-2021-44228
Google, CVE-2023-44487
Borat RAT, ransomware
Exchange Server 2016, Hafnium exploits
SureMDM, vulnerabilities affecting the web console
CODESYS, CVE-2021-34567
Netwrix Auditor, insecure object deserialization
Microsoft Open Enclave, CVE-2021-33767
Safari, artificial Airplane Mode
UEFI firmware, CVE-2021-3970
Hopper, vulnerable services
Print Spooler, CVE-2021-38671
PHP, dependency confusion
Dell Wyse Thin clients, CVE-2020-29491
Google Play, binding services
Zimbra, CVE-2022-27926
Wi-Fi routers, DNS changer
GitHub, Common Vulnerabilities and Exposures
Samsung Internet, XS-Leaks
Exchange Server, vulnerabilities
UEBA, elevation of privilege
discord.js, typosquatting
Apache's Log4j, CVE-2021-45046
Exchange Server, CVE-2021-26858
Exchange Autodiscover service, back-off mechanism
Apple Lossless Audio Codec, ALHACK
Comm100 Live Chat, DLL search order hijacking
MiniSeq, flaws
TrickBot, stolen credentials
SEL-5030 acSELeratorQuickSet, CVE-2023-31174
Analytics, CVE-2023-34124
Logo Maker, misconfigurations
AppTrana, DDoS
Outlook.com, zero-day vulnerability
kernel-mode drivers, malicious drivers
Microsoft, CVE-2023-38182
SEL Real Time Automation Controller (RTAC) suite, CVE-2023-31155
SharkBot, domain generation algorithm (DGA)
Synology DiskStation Manager, CVE-2022-23124
Microsoft Active Directory, CVE-2020-1472
salary_Lockheed_Martin_job_opportunities_confidential.doc, zero-day vulnerabilities
Cisco, CVE-2022-20699
Bitter APT, CVE-2021-1732
Mavic Pro, electromagnetic fault injection (EMFI) attacks
TLS, ALPACA
Microsoft, compromised credential
dongles, lost devices
Zoom, privacy nightmare
Apache web server, vulnerabilities
Microsoft, CVE-2022-21990
iBoot-PDU, path traversal
VS Code extensions, security flaws
socraticorg/mathsteps, dependency repository hijacking
New Horizon Datasys, CVE-2022-34302
Heyoka, CVE-2012-0158
Apple's iCloud Private Relay, vulnerability
Apple device, artificial Airplane Mode
SMTP, email phishing
Nexus 9000 Series Switches, CVE-2021-1577
Zyxel, CVE-2022-0342
Remote PowerShell, identity threats
Revive, keylogger
Linux, SAD DNS
Netgear RAX30 routers, CVE-2023-27369
marked, dependency confusion attacks
SIPLUS S7-1500, unpatchable hardware root-of-trust vulnerabilities
ATECC108 CryptoAuthentication coprocessor, improper hardware implementations of the Root of Trust
Dataprobe iBoot-PDU, command injection
Cisco Small Business RV016, CVE-2023-20026
JavaScript, zero-day bug
Python, CVE-2021-42694
generative artificial intelligence, prompt injections
Microsoft Exchange Server, ProxyShell Microsoft Exchange Server flaws
Linux kernel, CVE-2022-25636
Exchange Server, Y2K22 problem
Cybereason, ransomware
Exchange server, CVE-2021-26855
Sigstore, Log4Shell
Exchange Server, CVE-2023-23397
google/mathsteps, RepoJacking
OAuth applications, mailbox abuse
Telepad, CVE-2022-45478
Hermit, CVE-2018-4344
Gitpaste-12, CVE-2020-8816
Active Directory, Pass-the-Hash
MOVEit Transfer, CVE-2023-36934
Azure, typosquatting
Azure Functions, by-design flaw
NPM, OAuth token theft
Windows Print Spooler service, Remote Code Execution
Lazy Mouse, CVE-2022-45481
PTaaS, injection attacks
Firefox for Android, CVE-2023-5217
CISA, supply chain attacks
Salesforce, misappropriated privileges
Ethernet/IP server, CVE-2020-13556
Linux, CVE-2022-29799
npm, malware
ConnectWise, CVE-2022-36537
Alien, remote command-and-control server
RV082, CVE-2023-20025
VPN, phishing attacks
SEL Real Time Automation Controller (RTAC) suite, CVE-2023-31152
V8 JavaScript rendering engine, V8 flaw
wspvuhub.sys, privilege escalation
BackupEventLogW, CVE-2022-37981
PHPUnit, vulnerable versions of PHPUnit
Autodiscover, ol' switcheroo attack
Specops Password Policy, credential leaks
.NET Framework, CVE-2022-44698
ZTNA, worms
cellular baseband, remote code execution
DroidMorph, malware
Microsoft, phone-based phishing tactics
web application firewalls, data leakage
RV260, CVE-2022-20708
RV260P, CVE-2021-1291
EvilProxy, social engineering
SaaS-to-SaaS app integrations, malware
BTLC_C.exe, CVE-2022-26352
Azure application, EmojiDeploy
OPSWAT Filescan, Indicators of Compromise (IOCS)
Cisco SD-WAN vManage Software, CVE-2021-1479
ERS4900 Series, zero-click vulnerabilities
V8 JavaScript and WebAssembly engine, use-after-free
Trend Micro, file manipulation attacks
Desktop Central MSP, CVE-2021-44515
Zero2Automated, spyware
Treck TCP/IP stack, CVE-2020-25066
Bolt Browser, address bar spoofing vulnerability
containers, Credential reuse
Mastodon, CVE-2023-36460
Control Web Panel, CVE-2021-45466
6800 and 6900 Series SIP phones, CVE-2022-29854
Power Equipment Tech Express (PETE), password reset mechanism
C200E, denial-of-service
Windows Kernel, CVE-2023-35386
cgroups v1 release_agent, CVE-2022-0492
network middleboxes, DoS amplification attacks
Siemens Simatic programmable logic controller, CVE-2022-38465
Hubspot, MFA Fatigue attack
macOS, worms
OAuth applications, consent phishing
Pipenv, untrusted search path vulnerabilities
D-Link DSL-7740C routers, remote code execution vulnerabilities
WooCommerce Payments, CVE-2023-28121
GoDaddy Managed WordPress, plaintext passwords
Indusface, cross-site scripting
Print Spooler, CVE-2022-29114
iKVM remote control BMC functionality, CVE-2023-40289
Samsung, prompt bombing
Apache Log4j, vulnerability
SPA112 2-Port Phone Adapters, CVE-2023-20126
UEFI firmware, UEFI firmware vulnerabilities
Exchange Server 2013, zero-day vulnerabilities
Samba, CVE-2021-44142
MSHTML, print spooler
Twitter, security by obscurity
TikTok, flaws
Netgear smart switches, Draconian Fear
RHEL, CVE
SIM card, phishing scams
BRATA, backdoor
macOS, CVE-2021-1879
iOS, CVE-2022-46690
Booking Calendar | Appointment Booking | BookIt, CVE-2023-2834
Mirth Connect, CVE-2023-37679
Windows IIS web server, DLL side-loading
Skylake processors, Spectre
Meta, Ducktail
Spring Framework, CVE-2022-22965
RIG exploit kit, CVE-2015-2419
iPadOS 14.8, CVE-2021-30858
RV260, CVE-2022-20701
RDP client, DLL hijacking
Ruby, CWE-400
DKIM, email phishing
Large Language Models, unforeseen risks
Endpoint Enigma, applications
Hive, cryptographic vulnerability
FRRouting, denial-of-service
MikroTik RouterOS, CVE-2023-30799
Apple Neural Engine, CVE-2022-32810
Transparency, Consent and Control (TCC), CVE-2020-27937
MS-EFSRPC, NTLM relay attack
Cisco Discovery Protocol, CVE-2022-20625
KCodes NetUSB, CVE-2021-45608
ChromeOS, CVE-2023-4863
@am-fe/provider, malware
TCP/IP Protocol Stack, CVE-2021-26424
Microsoft Exchange Server, CVE-2022-41080
RV160, CVE-2021-1290
GitHub, RepoJacking
accounting software suite, vulnerabilities
ScrutisWeb, CVE-2023-35763
POP3, man-in-the-middle (MitM) attacks
Login/Signup Popup, CSRF
Google Chrome, CVE-2021-21224
Gatekeeper, CVE-2021-30657
Microsoft, CVE-2021-28480
Ninja Forms, CVE-2023-38386
Mozilla, supply-chain attacks
IMTranscoderAgent, zero-day
Wordfence, CSRF
Wireless Battery Module, exposure of data stored on the WBM
Intruder, Denial-of-Service (DoS) attack
Hitachi Vantara's Pentaho Business Analytics, multiple vulnerabilities
Bitbucket Server, CVE-2022-36804
VMware Aria Operations for Logs, CVE-2022-31706
HP EliteBook, CVE-2022-31640
Microsoft, breaches
Motorola, OT:ICEFALL
VMWare vCenter, CVE-2021-21972
Jamf Threat Defense, zero-day threats
SharePoint Server, CVE-2022-21846
Microsoft, critical security flaw
libc, RCE vulnerabilities
ZTNA, Advanced Persistent Threats
TOS, CVE-2022-24990
Google Pixel, CVE-2023-21036
Salesforce, zero-day attacks
SolarWinds, supply chain attack
App Control, CVE-2023-20858
System Update, malicious app
RV260, CVE-2021-1295
RV082, CVE-2021-1317
encrypted direct messages, forward secrecy
POWERSTAR, Log4Shell vulnerabilities
FortiProxy, CVE-2023-25610
Google Chrome, CVE-2021-37976
BIMI, impersonation attacks
macOS, zero-day flaws
tru.ID, man-in-the-middle (MITM)
GE's Universal Relay firmware, CVE-2021-27418
Siloscape, Remote Desktop Protocol (RDP)
iOS, weaponized 'zero-day' exploits
Tencent Soter, CVE-2020-14125
Microsoft Edge, CVE-2022-4135
SLSA, SolarWinds
Microsoft 365, phishing attack
Fisheye, CVE-2022-41903
DSR-250, modification of the router configuration file to inject rogue CRON entries
Azure Apache Oozie, CVE-2023-36884
Google Chrome, zero-day
Microsoft Word, Auto-Open macro
2530 Series, remote code execution vulnerabilities
Jamf's Secure Access Layer, man-in-the-middle attacks
deep packet inspection (DPI) boxes, TCP-non-compliance
Eltima USB Network Gate, buffer overflow
Compute DSP drivers, CVE-2023-33107
CentOS 6, Log4j vulnerability
macOS, viruses
Indusface AppTrana, misconfigurations
Facebook, EarSpy
gRPC, known vulnerability
DocuSign, open redirects
API gateways, shadow APIs
Azure, OMIGOD
API security platform, SQL injection
Microsoft, CVE-2022-38005
PsExec, one-day exploits
Azure Cosmos DB, ChaosDB
RV042, CVE-2021-1318
Windows 11, Follina
iPadOS, CVE-2023-28206
NetScaler Gateway, CVE-2023-3519
Trusty, CVE‑2021‑34397
WebKit, CVE-2021-1871
LockerGoga, SQL injections
Siemens SINEC network management system, CVE-2021-33723
Google Titan Key, CVE-2021-3011
LuLu, firewall bypass
Zyxel firewalls, CVE-2023-33010
Quasar, Exchange server flaws
Bently Nevada, OT:ICEFALL
Exim, CVE-2020-28017
Device42, CVE-2022-1400
SA 400, CVE-2022-29499
Zerobot, CVE-2021-42013
VMware, CVE-2022-31656
Play Store, HiddenAds malware
Instant Markdown, path traversal vulnerability
RDP, RCE vulnerability
Acunetix, zero-day vulnerabilities
Java, vulnerabilities
PsExec, watering hole attacks
Cisco Nexus Dashboard, CVE-2022-20861
WikiLeaks, malware remote control systems
Browser Security Platform, phishing webpages
Philips Clinical Collaboration Platform Portal, CVE-2020-4670
Siemens, OT:ICEFALL
Microsoft Active Directory, credential stuffing
Microsoft Dynamics 365, CVE-2021-42316
SaaS Security Posture Management, security holes
CODESYS V3, CVE-2022-47388
Sysmon, Process Hollowing
API, MITM-in-the-middle attacks
iOS 13.5, CVE-2020-9859
Festo, CVE-2022-3079
Adversarial ML Threat Matrix, adversarial samples
Microsoft, WannaCry
Microsoft 365, Slowloris
Legion, CVE-2021-3970
RV340, CVE-2022-20702
RV160W, CVE-2021-1296
Windows Server 2019, CVE-2020-25705
Honda's e-commerce platform, Broken/missing access controls
UpdateAgent, malicious app
Hyundai, security vulnerability in cars
com.amazon.gallery.thor.app.activity.ThorViewActivity, misconfiguration
ransomware software-as-a-service, vulnerabilities in network security systems
Ring cameras, credential stuffing
GoAnywhere MFT, remote code injection
Google Chrome, remote code execution flaw
Specops Password Auditor, passwords that are known to have been leaked
Android-based Control CPU, electromagnetic fault injection (EMFI) attacks
VMware Cloud Foundation, CVE-2022-22955
SolarWinds Orion, easily accessible password of 'solarwinds123'
CloudEyE, EDR bypass
CircleCI, plaintext credentials
Windows Hyper-V, CVE-2022-38015
NetX, NAME:WRECK
Cobalt Strike, CVE-2022-39197
Domain Name System, denial-of-service
iCloud, doorLock
UPS devices, RCE vulnerability
MooBot, command injection vulnerabilities
TikTok, multiple vulnerabilities
Explosive RAT, CVE-2019-3396
VMware Workspace One Access, CVE-2020-4006
Kaspersky, arbitrary delete vulnerabilities
Windows Support Diagnostic Tool, Follina
PowerDMARC, domain spoofing
libarchive, CVE-2022-21969
FreePBX, CVE-2012-4869
Windows Client Server Runtime Subsystem, CVE-2022-22047
InfraSuite Device Master, CVE-2023-1145
Pegasus, zero-click exploits
baseboard management controller firmware, CVE-2021-4228
Small Business 200 Series Smart Switches, denial-of-service (DoS) condition
Java 15, CVE-2022-21449
Microsoft Windows 10, CVE-2021-36934
zero trust architecture, misconfiguration attacks
Windows Servers, Zerologon
Microsoft, CVE-2021-34458
SaaS Security, SaaS-to-SaaS access
Microsoft Office, multi-factor authentication (MFA)
WebKit, iLeakage
Vera.js, dependency confusion attacks
PyPI, malicious code
Windows Print Spooler, CVE-2022-30206
LayerX, compliance
iPhone, doorLock
Network Detection & Response, insider threats
Apache HTTP Server, CVE-2021-44224
Microsoft Windows, OverLog
Microsoft Teams, server-side request forgery (SSRF)
Office 2021, CVE-2021-40444
libcurl, CVE-2023-38546
System Management Mode, CVE-2022-31645
Fortinet appliances, Log4Shell
McAfee VirusScan, DLL hijacking
Wemo Mini Smart Plug V2 (F7C063), CVE-2023-27217
RV260W, CVE-2021-1296
Daixin Team ransomware, compromised credentials
Microsoft Windows, CVE-2021-31201
Nagios XI, CVE-2023-40931
TBox, CVE-2021-22646
PowerShell, CVE-2017-11882
Dharma, stolen credentials
Salesforce, security breaches
BusyBox, CVE-2021-42373
MalLocker, ransomware
electric vehicle (EV) charger, vulnerability in EV charging infrastructure
VMware vRealize Automation, CVE-2022-22955
DarkSide, ransomware strain
SureMDM console, vulnerabilities affecting the web console
OIDC, data breaches
iOS 12.5.5, CVE-2021-31010
XCSSET, Universal Cross-site Scripting (UXSS)
PrintNightmare, CVE-2021-34494
Galaxy S10, design flaws
Sophos Firewall, CVE-2022-3236
TP-Link Archer AX21, CVE-2023-1389
Exchange On-premises Mitigation Tool, CVE-2021-26855
Harbor, ParseThru
Azure Active Directory, zero-day vulnerability
APIs, errors
Bluetooth stacks, CVE-2021-28139
vRealize Suite Lifecycle Manager, CVE-2022-22961
RedDriver, tamper with browser traffic
Meta Pixel, vulnerability exploitation
Xootix, Cross-site request forgery
Android, information stealers
WebKit, CVE-2023-28204
Google Chrome, CVE-2022-1096
SiennaPurple, CVE-2022-26352
Small Business routers, CVE-2021-1338
WordPress, CSRF
Sophos, rootkit
antivirus, zero-day wiper exploit
Apache web servers, CVE-2021-41773
Google Play Store, ad fraud
Kubernetes, breakout attacks
Workstation, CVE-2020-4004
Have I Been Pwned, breached password data
XStream, CVE-2021-39144
Salesforce, suspicious SaaS usage
Cuba ransomware, Bring Your Own Vulnerable Driver (BYOVD)
OpenRefine, CVE-2023-37476
macOS, CVE-2023-37450
Access Manager Plus, CVE-2022-47523
Fortinet FortiOS SSL-VPN, CVE-2022-42475
Cisco, Bluetooth authentication procedure
GitHub Actions, trojanized versions
Azure Defender for IoT, RCE vulnerabilities
GitHub Actions, poison legitimate artifacts
Grafana, unauthorized access
Barracuda Networks Email Security Gateway, zero-day flaw
GitHub, account takeover attack
DDR4 RAM, Rowhammer
WordPress, phishing attacks
Junos Space, CVE-2021-23017
iPadOS, CVE-2021-30807
Samba, CVE-2022-38023
VMware vRealize Automation, CVE-2022-22958
web browser, dependency confusion attacks
EX215-21G, CVE-2022-4020
Nagios XI, CVE-2023-40933
Eval PHP, malicious code injection
QEMUcare, Log4j vulnerability
Cloud Services Router 1000V Series, CVE-2021-34727
NetExtender 10.x, zero-day vulnerabilities
Microsoft, Remote Code Execution
Fusion, CVE-2023-20872
WhisperGate, Log4j
PyPI, clipper malware
SaaS Security Survey Report, data breaches
Small Business routers, CVE-2021-1290
Cisco Jabber, CVE-2020-26085
LogicalDOC, Stored XSS
PowerShell, spoofing metadata
SEL Real Time Automation Controller (RTAC) suite, CVE-2023-31151
DDR4 cards, Rowhammer
Tor Browser, CVE-2022-1529
Chrome, use-after-free
application security, cross-site scripting (XSS)
Outpost24, cross-site scripting (XSS)
Agent Tesla, AMSI
Android application, PIN bypass attack
Fodcha, known vulnerabilities
Windows 10, zero-day flaw
RSA encryption, store-now-decrypt-later attacks
jstest, malicious variant
Meta, end-to-end encryption
ChatGPT, denial-of-service (DoS) attacks
SMTP, DNS spoofing
Citrix Gateway, CVE-2022-27516
curl, CVE-2022-21969
TrickBot, man-in-the-browser (MitB) attack
Print Spooler, CVE-2021-36934
NtAllocateVirtualMemory, EDR bypass
The Great Suspender, tracking
iMessage, zero-click exploit chains
Specops Password Policy, breached passwords
network interface cards, optical covert channel
Magecart, vulnerability exploitation
RIG exploit kit, CVE-2015-0313
EvilProxy, cookie injection
Philips Clinical Collaboration Platform Portal, CVE-2020-1938
TLS-RPT, phishing
baseboard management controller firmware, CVE-2021-44467
DMARC, phishing
Microsoft, CVE-2022-24492
ChatGPT, governance
UEFI, CVE-2021-3972
T5-BASE, backdoor attacks
Multimedia Router (MMR) servers, memory corruption flaw
Check Point, ransomware
Outlook Web Access, CVE-2022-41082
Amazon Web Services, CVE-2023-44487
Sage X3 HR & Payroll, CVE-2020-7390
Telerik.Windows.Data.Validation.dll, DLL side-loading
NTLM, identity threats
Cisco AnyConnect Secure Mobility Client, CVE-2020-3153
Windows Local Security Authority, CVE-2022-26925
MegaCortex, brute force attacks
Exchange Servers, ProxyLogon Exchange Server flaws
3CX desktop application, CVE-2023-29059
Debian, CVE-2020-27170
Z shell, CVE-2021-30892
JavaScript, fingerprinting
Adobe Acrobat Reader, CVE-2023-26369
Pulse Connect Secure, CVE-2021-22893
NPM, software supply chain attacks
Borat RAT, keylogger
Browser Security platform, phishing
RTL8711AF, CVE-2020-25854
Telerik UI, CVE-2017-11357
GitHub, insecure coding patterns
Microsoft Office, adversary-in-the-middle (AitM)
GitGuardian, vulnerabilities
SMA 210, multiple security vulnerabilities
FileWave MDM, CVE-2022-34906
MenuDrive, malicious PHP code
LiteSpeed Web Server, CVE-2022-0073
Print Spooler, CVE-2022-29140
Slack, Vidar
Kubernetes API, --anonymous-auth=true
RV016, CVE-2021-1318
Ubuntu, CVE-2021-3847
PayPal, clickjacking
APIs, API breaches
Microsoft Support Diagnostic Tool, Follina
XSPM, bugs
Google Chrome, CVE-2023-4863
Intruder, overly permissive cloud accounts
Ruby, Denial-of-service (DoS)
Image I/O, CVE-2023-41064
RV042, CVE-2021-1314
BIOS Disconnect, unpatched weakness
Octo, banking trojan
Pling-based free and open-source software (FOSS) marketplaces, XSS exploit
Visual Studio Code extensions, unpatched vulnerability
Windows, Process Herpaderping
App Store, firewall bypass
App Defense Alliance, HiddenAds malware
Mitsubishi Electric's MELSOFT iQ AppPortal, CVE-2022-31813
Apple iPhone 5, man-in-the-middle (MitM)
Microsoft Windows MSHTML, CVE-2021-40444
BMC firmware, CVE-2023-40285
AOSP, impersonation attacks
Zoho ManageEngine ServiceDesk Plus, CVE-2021-44228
Tor Browser, CVE-2022-1802
Cerberus Sentinel, adversary-in-the-middle (AiTM) proxy toolkits
AMI MegaRAC Baseboard Management Controller (BMC) software, CVE-2022-40242
Lenovo consumer laptop models, CVE-2021-3970
Windows Kernel, CVE-2023-35380
ClamAV, CVE-2023-20052
Kindle application manager service, CVE-2021-30355
Android, accessibility services abuse
Spring Cloud Gateway, CVE-2022-22947
Brute Ratel C4, endpoint detection and response (EDR)
RDP Gateway, outdated security protocols
Verizon's Data Breach Investigations Report, security misconfiguration
Markup tool, CVE-2023-21036
PTC's Axeda, Access:7
Akamai, TCP Middlebox Reflection
V17 series, CVE-2021-3970
Google, disclosure
csrss.exe, Supply chain attacks
Wire, CVE-2021-32683
D-Link devices, remote code execution
CASB DLP, data leakage
CloudEyE, anti-analysis
STARTTLS, Man-in-the-Middle (MitM) attacks
RV042G, CVE-2021-1316
Veeam ONE, CVE-2023-38547
Mercury Workshop, Shady Hacking 1nstrument Makes Machine Enrollment Retreat
Outlook, CVE-2020-16947
Mitel MiCollab, CVE-2022-26143
WebAssembly, buffer overflow vulnerabilities
NPM, Package Planting
Log4Shell, HyperBro
Samsung's Android smartphones, CVE-2023-26083
Nagios XI, CVE-2023-40934
Sage X3 Console, CVE-2020-7388
RTA's ENIP stack, CVE-2020-25159
NtAllocateVirtualMemory, anti-analysis
FireEye, supply chain
Safari, zero-day vulnerabilities
Citrix ShareFile, CVE-2023-24489
Data Center, CVE-2022-36804
Generative AI DLP, compliance
Docker Hub, leaked secrets
Google Chrome, CVE-2023-3079
macOS, adware
Adaptive Shield, vulnerabilities
Samba, CVE-2022-37966
iOS 16.2, going dark
Festo CPX-CEC-C1, CVE-2022-22515
Medusa, overlay attacks
Lenovo consumer laptop models, CVE-2021-3971
PsExec, compromised credentials
VMware ESXi, elevated privileges
Logout4Shell, RCE
Gcore, social engineering
WordPress plugins, CVE-2022-0215
MRI scanners, medical device outages
OneDrive, cache bypass
V8 JavaScript rendering engine, remote code execution vulnerability
Microsoft Teams, denial-of-service (DoS)
Risk Based Vulnerability Management, CVE
PyPI, remote code execution
Bitcoin/Dogecoin Wallets, one-click vulnerabilities
Zoom, impersonation attack
Apple's FaceTime, critical flaw
Microsoft PostScript and PCL6 Class Printer Driver, CVE-2023-23392
NTLM, ransomware spread
SD card, CVE-2019-12266
Indusface AppTrana, phishing attacks
Ecipekac, SSL-VPN
Secure Boot, CVE-2022-3430
Multi-factor Authentication, lateral movement
Windows, CVE-2023-3955
VMware, CVE-2023-20870
Cymulate, business logic vulnerabilities
Windows, CVE-2021-34448
MOVEit Transfer, CVE-2023-36933
Azure Active Directory, privilege escalation
WhatsApp, CVE-2022-27492
Specops Password Auditor, passwords that do not adhere to compliance standards or industry best practices
Cisco Small Business RV110W, CVE-2021-34730
Microsoft, CVE-2023-35359
CyOps, exploits
Jupyter Notebooks, authentication bypass vulnerability
Windows executable, adversary-in-the-middle (AitM) attacks
Microsoft Office, Log4Shell
RDP, identity threats
GitLab, CVE-2021-4191
Mitsubishi Electric's MELSOFT iQ AppPortal, CVE-2022-26377
Intel, CVE-2022-21233
PaperCut MF, CVE-2023-27350
iMessage, FORCEDENTRY exploit
Microsoft, CVE-2023-38154
DAAM, accessibility services
npm, typosquatting
iOS 12.4.9-12.5.1, CVE-2021-1782
Predator, CVE-2023-41992
Specops Password Policy, weak passwords
RTF documents, CVE-2021-40444
MFA, account takeover
macOS, CVE-2021-30970
CVE-2021-34527, PrintNightmare
Terminator, Bring Your Own Vulnerable Driver (BYOVD)
Fastly's Next-Gen WAF, Cross Site Scripting
Cymulate, misconfiguration
Barracuda Email Security Gateway, CVE-2023-2868
ADManager Plus, CVE-2022-47966
Microsoft Azure, vulnerabilities
Bluetooth Low Energy, relay attack
BreachLock, BOLA
tvOS, CVE-2022-26706
Exchange servers, CVE-2021-34523
Microsoft Windows Support Diagnostic Tool, DogWalk
PowerDMARC's DMARC analyzer, domain spoofing
Cradlepoint, AuthValue disclosure
PostgreSQL, Hell's Keychain
Unified Access Gateway, Log4Shell
iOS, denial-of-service vulnerability
MITRE, Path Traversal
Adobe Connect, CVE-2023-29305
Mirai, CVE-2022-22965
libxml2, security holes in open source software components
SolarWinds Orion, vulnerability
AdFind, vulnerabilities in Exchange Servers
IIS, ProxyLogon flaws
Autodiscover, leak of login names and passwords
FreeBSD, fundamental design flaw in the IEEE 802.11 Wi-Fi protocol standard
Microsoft, CVE-2023-35382
OpenAI API keys, denial-of-service (DoS) attacks
WebRTC, heap buffer overflow
UR32L, CVE-2023-43261
SIDH, key recovery attack
Genesis, security vulnerability in cars
Intel, BIAS attacks
5G Standalone core, man-in-the-middle attacks
Opera, ad injection
Log4j, Log4J vulnerability
Qualcomm, CVE-2022-40516
FedRAMP, security vulnerabilities
Android, CVE-2020-16010
routers, attacks against servers and network appliances
Mozi, HTTP session hijacking
Elementor, stored cross-site scripting (XSS)
iOS, CVE-2023-41061
GraphQL API, SQL injection
Discord, watering hole attacks
Windows Hello, brute-force password spraying attacks
Cisco VPN, multi-factor authentication
Windows, Mark of the Web (MotW)
SMTP, Man-in-the-middle
Explosive RAT, CVE-2012-3152
Cisco Expressway Series, CVE-2022-20812
Google Drive, website fingerprinting attack
Google Chrome, CVE-2021-38000
SD-WAN vManage Software, CVE-2021-1468
LenelS2, CVE-2022-31481
AppSec, Security Misconfiguration
watchOS 7.6.2, CVE-2021-30860
Windows, CVE-2021-34473
Hikvision, national security threat
Server Service Remote Protocol, CVE-2022-38045
CODESYS, CVE-2021-34566
Netgear, unpatched security vulnerability
Kerberos, identity threats
AvosLocker, file transfer protocol (FTP)
Retpoline, Spectre
DanderSpritz, CVE-2017-0005
Windows Hyper-V, CVE-2022-21995
Zoom, Zoom vulnerabilities
BIG-IP Configuration utility, CVE-2023-46748
Firmware Update 8.2B, CVE-2021-40859
SIG, AuthValue disclosure
Microsoft Exchange, CVE-2020-0688
infusion pumps, adversary-in-the-middle attacks
SMA 100 series, zero-day vulnerability
Google Shopping API, Malware
Windows, Process Doppelgänging
Microsoft Support Diagnostics Tool, zero-day flaw
RIG exploit kit, CVE-2014-6332
Junos OS, CVE-2022-22246
video conferencing, ransomware
KuduLite, privilege escalation flaw
Active Directory, Keberoasting
BlastDoor, zero-click exploit
@cima/prism-utils, TLS certificate validation
Oracle, Solorigate
Google Chrome, CVE-2021-21220
garage door controllers, CVE-2023-1748
Samba, CVE-2022-37967
BIND, DNS spoofing
SonarLint, account hacking
Enzoic, compromised credential
Junos OS, CVE-2023-36844
RV325, CVE-2021-1314
Galaxy S21, design flaws
Apple Safari, remote code execution flaw
GUAC, Log4Shell
